platform,meme_template,search_query,post_id,author_handle,author_display,caption,alt_text,image_url,likes,reposts,replies,created_at,indexed_at,post_url,collection_timestamp
bluesky,change my mind,change my mind meme,at://did:plc:qi4e3sakyina2oljjrqauef5/app.bsky.feed.post/3lp7yjrexck2o,sundance.bikesky.social,Sundance,"Taking space for a bike lanes?
They call it tyranny.

Letting same sex couples marry?
They call it an attack on family.

Building apartments?
They say it ruins ‘character.’

Privilege always feels like oppression when you’re used to being first.",Change my mind meme format about “Sharing the road doesn’t hurt you. You’re just not used to it”,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:qi4e3sakyina2oljjrqauef5/bafkreia45cwztkb2swqbi6w3maferxnmnqm55jn66xh7uiwzhsleqstq2a@jpeg,149,26,7,2025-05-15T17:01:55.258Z,2025-05-15T17:01:57.653Z,https://bsky.app/profile/sundance.bikesky.social/post/3lp7yjrexck2o,2025-12-10 14:35:02
bluesky,change my mind,change my mind meme,at://did:plc:fwoq4y4ddxuoye2io4peagju/app.bsky.feed.post/3lqrq2wlkzc2m,henrick.thebull.app,Henrick ♾️🌌,,"A meme that reads ""Ya'll are pearl clutching about leather at pride but hooters is a fetish restaurant that lets kids eat free once a week. Change my mind."" But there's no Crowder in the pic so don't worry.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:fwoq4y4ddxuoye2io4peagju/bafkreigdybtju74p6roytud6w4j7xop54chfzizrxvthg3mgj5pr62g6cy@jpeg,246,65,1,2025-06-04T11:43:34.389Z,2025-06-04T11:43:37.849Z,https://bsky.app/profile/henrick.thebull.app/post/3lqrq2wlkzc2m,2025-12-10 14:35:04
bluesky,change my mind,change my mind meme,at://did:plc:w6r6glo47lxhven67af72vxm/app.bsky.feed.post/3lrnvs424m22r,jonzoidberg.xyz,JonZoidberg,"Steven Crowder, the guy from the ""Change my mind"" meme, getting his settings changed manually by a union worker he had previously attacked from behind.

It's always ethical to punch a Nazi. Change my mind!","Dripped Out Trade Unionists

@UnionDrip

Follow

...

Steven Crowder getting punched by a dripped out IBEW member at a rally against right to work in Michigan.

ALT

IBEW",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:w6r6glo47lxhven67af72vxm/bafkreibxbtqy5gkjavw4vx45mte7jxsxnypv237ef7vpnvzqnrt7ctmj5u@jpeg,103,24,6,2025-06-15T16:40:33.249Z,2025-06-15T16:40:34.746Z,https://bsky.app/profile/jonzoidberg.xyz/post/3lrnvs424m22r,2025-12-10 14:35:06
bluesky,change my mind,change my mind meme,at://did:plc:4x2qvn2kpe6pnhjrh2uyb5hc/app.bsky.feed.post/3lsawvqqgtc2d,feralcommie.bsky.social,Feral Millennial Communists of Late Stage Capitalism,#Marxistmonday,"The change my mind meme, where it says 'capitalism sucks' but the guy behind the desk has been shot, in the second panel is the CIA",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:4x2qvn2kpe6pnhjrh2uyb5hc/bafkreihqf7hh2vshrfpcv53m5vorziornodeqrmv6nbxjxsmiqmxbqshsq@jpeg,125,37,2,2025-06-23T06:21:04.390Z,2025-06-23T06:21:08.541Z,https://bsky.app/profile/feralcommie.bsky.social/post/3lsawvqqgtc2d,2025-12-10 14:35:07
bluesky,change my mind,change my mind meme,at://did:plc:uuavp4rcsg37gps4637jyrsh/app.bsky.feed.post/3ls63hdikfs2g,shoshana.bsky.social,Shoshana 🏳️‍⚧️,Girl Dinner is Eating Out,"Meme of Calvin (of Calvin and Hobbes) sitting at a table with a ""change my mind"" banner that reads ""The only real girl dinner is cunnilingus, change my mind""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:uuavp4rcsg37gps4637jyrsh/bafkreia7wm6rc275xlzq7pyumb4ytjamy2cgnqubmkrgsrdksxzkzznsa4@jpeg,140,15,3,2025-06-22T03:04:30.233Z,2025-06-22T03:04:32.545Z,https://bsky.app/profile/shoshana.bsky.social/post/3ls63hdikfs2g,2025-12-10 14:35:07
bluesky,change my mind,change my mind meme,at://did:plc:5mkseum3vm7otpyekrxs4nfj/app.bsky.feed.post/3lspepzg5hc2m,thewatchcat.bsky.social,Watchcat Wrecking Crew🌙,#CatsOfBluesky #Caturday 🐾💙🐈,"Cat at the table in the ""change my mind"" meme. Sign says ""I shou.d be allowed on the counter - change my mind""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:5mkseum3vm7otpyekrxs4nfj/bafkreihiuo6vumuermhzuwnfopcrblr7rw4xsvfwa2i7i6yfjksfjnwbje@jpeg,295,42,7,2025-06-29T00:05:40.881Z,2025-06-29T00:05:42.639Z,https://bsky.app/profile/thewatchcat.bsky.social/post/3lspepzg5hc2m,2025-12-10 14:35:08
bluesky,change my mind,change my mind meme,at://did:plc:25ftfiiwwkcc4s4geuui45af/app.bsky.feed.post/3lvq4xx6qq22q,leovongripsholm.bsky.social,Leo von Gripsholm,"different audience same energy 
you won‘t change my mind","Dreifach „Winnie the Pooh“ Meme, Winnie im T-Shirt kombiniert mit Mario Barth, Winnie im Smoking kombiniert mit Dieter Nuhr, Winnie im Smoking mit Monokel kombiniert mit Vince Ebert.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:25ftfiiwwkcc4s4geuui45af/bafkreihpwgwlgfwr5gifbwbmdnifmvtxx4n7doybxyzzm5rd724klp4g2u@jpeg,166,18,3,2025-08-06T11:35:11.663Z,2025-08-06T11:35:15.907Z,https://bsky.app/profile/leovongripsholm.bsky.social/post/3lvq4xx6qq22q,2025-12-10 14:35:13
bluesky,change my mind,change my mind meme,at://did:plc:ihplhgoxjeldw7h25tph6mza/app.bsky.feed.post/3lvq3lp3tlc2p,greenpeaceuk.bsky.social,Greenpeace UK,"FRIENDLY REMINDER: There is too much plastic in the water because we keep putting water in plastic.

Right now, we have a vital chance to cut plastic production - through a legally binding Global Plastics Treaty.

But plastic loving lobbyists are trying to sabotage the treaty. ⁠","Bernie Saunders with mittens on sat at change my mind meme table with text "" Bottled water companies do not produce water, they produce plastic bottles. Change my mind"" ",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:ihplhgoxjeldw7h25tph6mza/bafkreid6vkuo2zsadppencxrop63fvis43wuz72fmjklmaaum3yfoefe6q@jpeg,185,53,3,2025-08-06T11:10:26.784Z,2025-08-06T11:10:34.003Z,https://bsky.app/profile/greenpeaceuk.bsky.social/post/3lvq3lp3tlc2p,2025-12-10 14:35:13
bluesky,change my mind,change my mind meme,at://did:plc:w6h6dprbvdrbaidpnbjhj7yi/app.bsky.feed.post/3lxnhq3fn6r2o,askaubry.com,AskAubry 🦝 🐆,"When I was a month postpartum, I stared at the Vitamix and couldn't figure out how to make it work, something I've done hundreds of times before. 

Get he is tired too, but damn calling her ""slow"". ","r/TrueOffMyChest

u/Street-Level-7850

1d

Our newborn (1mo) is making me see my wife as ""stupid,"" and it's turning me into an asshole. I feel awful and need to stop.

Guys, I'm in a really bad place and I need a reality check.

My wife is my best friend. I love her, she's a great person, kind, loyal, all of it. We've been married 3 years.

But I feel like my wife is... slow. I know that sounds horrible, and I feel like a total asshole even typing it. For years, it's been a thing. She needs me for anything technical or requires problem-solving. Like, I've had to FaceTime her to show her how to find something in her banking app multiple times. It's not just tech stuff either, it's a bunch of things. We have a totally different sense of humor. I had to literally explain to her what a ""meme"" was a while back.",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:w6h6dprbvdrbaidpnbjhj7yi/bafkreic4j3snmlsaein5p6adhmhee3ijq63oxsfzc6mo7cxofsgfdm3nre@jpeg,206,7,31,2025-08-30T21:00:02.000Z,2025-08-30T21:00:23.411Z,https://bsky.app/profile/askaubry.com/post/3lxnhq3fn6r2o,2025-12-10 14:35:16
bluesky,change my mind,change my mind meme,at://did:plc:63ma5g7m2klgwdxvpszfsayw/app.bsky.feed.post/3m4eahndpbs26,mrtechnodad.bsky.social,,"As is customary, you won't actually be able to change my mind.","The classic ""change my mind"" meme with the sign saying ""You are worthy of love/change my mind"" and Mr. Technodad instead of the usual guy",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:63ma5g7m2klgwdxvpszfsayw/bafkreidbng4pi6vs7vhdpj4fld66lwr4bdc7hkvw5kyczat4r3etanw6mm@jpeg,119,16,6,2025-10-29T20:02:03.978Z,2025-10-29T20:02:07.057Z,https://bsky.app/profile/mrtechnodad.bsky.social/post/3m4eahndpbs26,2025-12-10 14:35:25
bluesky,change my mind,change my mind meme,at://did:plc:4x2qvn2kpe6pnhjrh2uyb5hc/app.bsky.feed.post/3m5gjh4zt5s2u,feralcommie.bsky.social,Feral Millennial Communists of Late Stage Capitalism,70 years of history in one meme,"Spin on the guy behind a desk ""change my mind"" meme. The guy says ""capitalism sucks, change my mind"" and is dead on the floor.
The picture below is of the CIA with a rifle ",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:4x2qvn2kpe6pnhjrh2uyb5hc/bafkreihqf7hh2vshrfpcv53m5vorziornodeqrmv6nbxjxsmiqmxbqshsq@jpeg,166,74,0,2025-11-12T11:13:21.656Z,2025-11-12T11:13:20.058Z,https://bsky.app/profile/feralcommie.bsky.social/post/3m5gjh4zt5s2u,2025-12-10 14:35:26
bluesky,change my mind,change my mind meme,at://did:plc:5eyzxq6litcyeva7et2xs6yt/app.bsky.feed.post/3m4ybt2k5ptp2,lazarou.mastodon.social.ap.brid.gy,Lazarou Monkey Terror 🚀💙🌈,"Mike Johnson is a coward and an enabler.

#RepYassaminAnsari #USPOL #USPOLITICS #MikeJohnson #Epstein #EpsteinFiles #GovernmentShutdown #Cowards #Enablers","Sahil Kapur
@sahilkapur.bsky.social
Rep. Yassamin Ansari has set up a table and this sign outside Speaker
Johnson's office.

Photo of Rep Ansari sitting at a trestle table looking at her phone and waiting outside the Coward's office. She has replicated the ""Change My Mind"" meme with the wording;
 ""Mike Johnson Is Starving Families and gutting healthcare to cover up the Epstein Files 
CHANGE MY MIND ""
",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:5eyzxq6litcyeva7et2xs6yt/bafkreiauyk2lfyy26hzx7htbw2uypf72m4igfwg4r3d4cx4z3jjvmmzjai@jpeg,117,25,5,2025-11-06T19:19:01.000Z,2025-11-06T19:20:29.565Z,https://bsky.app/profile/lazarou.mastodon.social.ap.brid.gy/post/3m4ybt2k5ptp2,2025-12-10 14:35:27
