platform,meme_template,search_query,post_id,author_handle,author_display,caption,alt_text,image_url,likes,reposts,replies,created_at,indexed_at,post_url,collection_timestamp
bluesky,mocking spongebob,mocking spongebob meme,at://did:plc:2hwwem55ce6djnk6bn62cstr/app.bsky.feed.post/3lbryul5xmk2f,francesmeh.reviews,Frances Meh,,"mad men elevator meme

ginsberg in a maga hat saying there are only twwo gennders in mocking spongebob type

draper with a bluesky logo on his lapel and and a menu with block account highlighted next to his head saying I don’t think about you at all",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:2hwwem55ce6djnk6bn62cstr/bafkreifrawb5vs5fwptaucl5fwyzenffompidlu5zipcyqrj6zce42ffou@jpeg,3113,446,24,2024-11-25T17:03:10.353Z,2024-11-25T17:03:12.363Z,https://bsky.app/profile/francesmeh.reviews/post/3lbryul5xmk2f,2025-12-09 10:32:29
bluesky,mocking spongebob,mocking spongebob meme,at://did:plc:pj2gmv3pfssw2yjmfvebm2ey/app.bsky.feed.post/3lk22h2u75k2b,tylerwalpole.bsky.social,Tyler Walpole - SCG Baltimore,New counterspell just dropped.,New MTG Secret Lair counterspell card with the SpongeBob-mocking meme art painted by Tyler Walpole.,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:pj2gmv3pfssw2yjmfvebm2ey/bafkreihmjf6b4ju2kekfjjs2kzrjuroiksub4jlldxdhvytpyhewikfqja@jpeg,204,32,9,2025-03-10T17:14:15.458Z,2025-03-10T17:14:29.852Z,https://bsky.app/profile/tylerwalpole.bsky.social/post/3lk22h2u75k2b,2025-12-09 10:32:41
bluesky,mocking spongebob,mocking spongebob meme,at://did:plc:t3zshqva4tdctnkokrc4nkqr/app.bsky.feed.post/3lld47ynnmk25,halfmoonjoe.com,halfmoonjoe,I guess I have to WAIT to watch antiques road trip bc the TELEVISION has to install an UPDATE but that's just fine bc tvs are s00ooOOo0O much better now!!!!,SpongeBob mocking meme,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:t3zshqva4tdctnkokrc4nkqr/bafkreibrmq53t5fcqeq7u5jgadynwdyixgm3spw53eagzld3ib6qyjdwem@jpeg,144,1,8,2025-03-27T01:05:15.001Z,2025-03-27T01:05:15.605Z,https://bsky.app/profile/halfmoonjoe.com/post/3lld47ynnmk25,2025-12-09 10:32:43
bluesky,mocking spongebob,mocking spongebob meme,at://did:plc:ekgxd6mtd67bdouho2hksgcm/app.bsky.feed.post/3lmxegdxdjk25,yourprettyboy.bsky.social,it’s g ♍️,i FoRgOt aBouT tHiS aPp,SpongeBob mocking meme,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:ekgxd6mtd67bdouho2hksgcm/bafkreidw5c2iojtnzl7yo2e65e2lc64me6o43kcc6rrnjjg7jhsta6356m@jpeg,143,11,1,2025-04-16T19:50:24.519Z,2025-04-16T19:50:26.684Z,https://bsky.app/profile/yourprettyboy.bsky.social/post/3lmxegdxdjk25,2025-12-09 10:32:45
