platform,meme_template,search_query,post_id,author_handle,author_display,caption,alt_text,image_url,likes,reposts,replies,created_at,indexed_at,post_url,collection_timestamp
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:zg6aosmg55bkoz4jzfk7m3qh/app.bsky.feed.post/3lla4ywizms2k,lindzmcleod.bsky.social,Lindz McLeod - THE UNLIKELY PURSUIT OF MARY BENNET is out now!,,"Meme of an angry woman yelling at a hissing cat; caption above the women reads ""Mr Darcy is engaged to my daughter. Now what have you to say?"" The caption above the cat reads ""Only this: that if he is so, you can have no reason to suppose he will make an offer to me.""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:zg6aosmg55bkoz4jzfk7m3qh/bafkreicsyegovceri5hw6gs7lxqkdswewwqy4i74pbavbdf624pglgjms4@jpeg,119,18,1,2025-03-25T20:41:11.237Z,2025-03-25T20:41:16.000Z,https://bsky.app/profile/lindzmcleod.bsky.social/post/3lla4ywizms2k,2025-12-10 14:42:16
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:hmcdopt35bxjkewxmxz22q62/app.bsky.feed.post/3lkybqttrf22h,dinusau.bsky.social,dinu 1/2,deutsch journo be like,Woman yelling at cat meme. Frau schreit: ICH BIN FASCHIST! Katze: NAJA JETZT WOLLN WIR ABER MAL DIE KIRCHE IM DORF LASSEN,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:hmcdopt35bxjkewxmxz22q62/bafkreidtcqqoapwcu6vl4bqb4fxdy3bcw3puewiiudkug7q4sjzvhipjue@jpeg,242,22,3,2025-03-22T17:44:51.984Z,2025-03-22T17:44:55.545Z,https://bsky.app/profile/dinusau.bsky.social/post/3lkybqttrf22h,2025-12-10 14:42:16
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:kqrhok7iyeykdu6w3htj67ti/app.bsky.feed.post/3llqbfcf6ck2v,koonamsims.bsky.social,쿠남 HappyLifeSims 🇰🇷,"- Meme Parody -
 Woman Yelling at a Cat (1929)

#TheSims4 #Meme",,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:kqrhok7iyeykdu6w3htj67ti/bafkreicu3f4d7vftrqwygvnploan6lftp75avwxf5l3zbranpyfcllekua@jpeg,132,43,7,2025-04-01T06:42:18.296Z,2025-04-01T06:42:23.899Z,https://bsky.app/profile/koonamsims.bsky.social/post/3llqbfcf6ck2v,2025-12-10 14:42:17
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:7ztgtyala7eabchlyk5eume5/app.bsky.feed.post/3lpt5fejzjc2u,archiv10.bsky.social,Archiv10,,"woman yelling at cat meme,

aber ich hab das gesicht der Frau mit dem von Gerhard Pfster ersetzt

text über den Frauen: Wenn blue sky echte Alternative zu X werden will, würden weniger Katzenposts und dergleichen und mehr Relevanz sicher  helfen.

text über der Katze This sir, is a Wendy´s",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:7ztgtyala7eabchlyk5eume5/bafkreidda7ecbh4bfmqivujoca2po6sdxlmj5hfgcuklfmktpyjshv6uoa@jpeg,134,19,9,2025-05-23T07:49:31.327Z,2025-05-23T07:49:34.448Z,https://bsky.app/profile/archiv10.bsky.social/post/3lpt5fejzjc2u,2025-12-10 14:42:23
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:7nnkf532qkob46crhqdyxi4l/app.bsky.feed.post/3luf7op6lp223,pyrrhie.bsky.social,Pyrrhat,,"Das Bild zeigt das Meme „Woman yelling at a cat“, bei dem eine hysterische Frau eine Katze anschreit, die vor einem Teller Salat sitzt. Die Frau ist mit „Saskia Ludwig“ beschrieben, die Katze wurde mit dem Gesicht von Frauke Brosius-Gersdorf ersetzt. ",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:7nnkf532qkob46crhqdyxi4l/bafkreib4oepimxxl2hytutqxqru7iqmi2y7mknbkqpovzxep2e5uwnmbxi@jpeg,104,9,2,2025-07-20T09:59:13.741Z,2025-07-20T09:59:16.239Z,https://bsky.app/profile/pyrrhie.bsky.social/post/3luf7op6lp223,2025-12-10 14:42:29
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:ikytfpjryae6onk7kctbpxmc/app.bsky.feed.post/3lw6hepmrkk2o,mistajonz.bsky.social,!CHRiS! Jones ✪,"✨Sonic the Hedgehog's Amy Rose, Rouge the Bat and Blaze the Cat doing the ""woman yelling at cat"" meme✨","Sonic the Hedgehog's Amy Rose, Rouge the Bat and Blaze the Cat doing the ""woman yelling at cat"" meme",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:ikytfpjryae6onk7kctbpxmc/bafkreih6dr46bshju7bn3zfxcx4reo4hcp7w252ai4zfixn5j4wqfpa33m@jpeg,220,82,2,2025-08-12T04:18:33.650Z,2025-08-12T04:18:45.906Z,https://bsky.app/profile/mistajonz.bsky.social/post/3lw6hepmrkk2o,2025-12-10 14:42:31
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:hjfeoazwa4hszmev2k5plckb/app.bsky.feed.post/3lydylrx5ys2j,bionicslingshot.bsky.social,Unassuming Local Guy,"“If you hard, then you hard.” 

Story of my life.","A meme combining a poorly designed poster and reaction images. The top shows a red-and-white sign meant to say “If you work hard, then you play hard,” but because “WORK | PLAY” is printed vertically, it instead reads confusingly as “If you hard. Then you hard.” 

Below, two meme panels react: on the left, the famous “woman yelling at a cat” scene with text clarifying “If you work hard. Then you play hard,” and on the right, the unimpressed white cat, Smudge, at a dinner table with text echoing the error, “If you hard. Then you hard.”",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:hjfeoazwa4hszmev2k5plckb/bafkreibbfi3dzonqpyxaxnzaigc5psmratrdemvvlmwahfbisnm2vab5mq@jpeg,177,10,6,2025-09-08T20:00:26.567Z,2025-09-08T20:00:31.012Z,https://bsky.app/profile/bionicslingshot.bsky.social/post/3lydylrx5ys2j,2025-12-10 14:42:34
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:2l5oi36rwra5dg7ejo5te4qa/app.bsky.feed.post/3ly6nxlg2d22i,alexwood.codes,Alex Wood,Never forget.,The woman yelling at cat meme overlayed by Shane Beamer losing his mind at a smirking Bret Bielema.,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:2l5oi36rwra5dg7ejo5te4qa/bafkreifyhbytt74pwerytfqgltzsjcai55ieh5p45q35wlqrbnonslpkba@jpeg,115,17,2,2025-09-06T17:06:52.524Z,2025-09-06T17:06:55.203Z,https://bsky.app/profile/alexwood.codes/post/3ly6nxlg2d22i,2025-12-10 14:42:34
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:xckquywke7xvts6hvjiyik5f/app.bsky.feed.post/3ly3uolh2rc22,shriketastic.bsky.social,Shriketastic,,"""Woman yelling at cat meme""

Nate Silver is the woman yelling

Michael Hobbes is the cat hissing",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:xckquywke7xvts6hvjiyik5f/bafkreib4gmg3nqz3evkb75zh4qprhxykg3neraemuehrh6uw2cft6wg2ui@jpeg,641,20,1,2025-09-05T14:29:07.552Z,2025-09-05T14:29:09.507Z,https://bsky.app/profile/shriketastic.bsky.social/post/3ly3uolh2rc22,2025-12-10 14:42:34
bluesky,woman yelling at cat,woman yelling at cat meme,at://did:plc:tajwhz3wvy4cwsshqeyifzdm/app.bsky.feed.post/3lzypn7hihc2g,kmaustinyoung.bsky.social,Advent Kira,I made a meme inspired by an r/Episcopalian post. ⚓,"Woman yelling at cat meme with the woman titled ""Me"" and saying ""You can't just call everything you like 'Celtic' Christianity."" The cat is labeled ""Boomers"" and says ""Celtic Lord's Prayer.""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:tajwhz3wvy4cwsshqeyifzdm/bafkreifdjgbgqsgbpommqp24it6vobsqitlr2gwdcrghebgiycjm7flkfm@jpeg,169,13,14,2025-09-29T19:11:16.760Z,2025-09-29T19:11:19.356Z,https://bsky.app/profile/kmaustinyoung.bsky.social/post/3lzypn7hihc2g,2025-12-10 14:42:36
bluesky,woman yelling at cat,yelling cat meme,at://did:plc:v5vxd243huv5hwsr5ndayzg5/app.bsky.feed.post/3laey25pbj72l,hazelmonforton.com,dr. hazel 🐇,Some Destiny 2: Season of the Witch memes I made while working on it.,"Immaru telling the Guardian and Ikora ""Listen up, fives. A ten is speaking.""",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:v5vxd243huv5hwsr5ndayzg5/bafkreibs4dujlz2as22rmaxruvllnajexw6mn53itzjv4olcbgsqczdaom@jpeg,335,63,21,2024-11-07T19:18:35.539Z,2024-11-07T19:18:36.591Z,https://bsky.app/profile/hazelmonforton.com/post/3laey25pbj72l,2025-12-10 14:43:16
bluesky,woman yelling at cat,yelling cat meme,at://did:plc:jjld7ws2qgyls32p5efdu4qm/app.bsky.feed.post/3lbkuwirr5k2f,quinnypig.com,Corey Quinn,"I know it’s so, so stupid but I can’t help myself.",My desktop wallpaper is the lady yelling at the cat meme. ,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:jjld7ws2qgyls32p5efdu4qm/bafkreibz46negblrwb5oderf7s2i2kzglzvpebunhqxm7agw6nioijyohq@jpeg,174,16,8,2024-11-22T21:04:01.829Z,2024-11-22T21:04:06.078Z,https://bsky.app/profile/quinnypig.com/post/3lbkuwirr5k2f,2025-12-10 14:43:19
bluesky,woman yelling at cat,yelling cat meme,at://did:plc:o2zbts7lyuztn2uy5pqaikhi/app.bsky.feed.post/3lc4mvwqmek2s,tcarmody.bsky.social,Tim Carmody,"Wow, talk about a microtargeted meme variation","A two panel screenshot imitating a popular meme. In the first panel, the transformer Starscream is yelling and pointing across a table. In the second panel, a transformer cat with two Energon cubes in front of him is grinning back",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:o2zbts7lyuztn2uy5pqaikhi/bafkreigfrlyvtxftoa27qjkmci5n3gj65firb63iconncy3qxo7uqqyxwm@jpeg,217,37,4,2024-11-29T22:28:28.270Z,2024-11-29T22:28:30.749Z,https://bsky.app/profile/tcarmody.bsky.social/post/3lc4mvwqmek2s,2025-12-10 14:43:20
bluesky,woman yelling at cat,yelling cat meme,at://did:plc:lazvo4f5uno26ei7forewjbd/app.bsky.feed.post/3len5sr5irk2m,arndog77.bsky.social,Matt M.,Cheez It fun,Shane Beamer pointing in anger at smiling Bret Beilema,https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:lazvo4f5uno26ei7forewjbd/bafkreifrxhhzh5e2bql4dkem6suen4jks4jgfwu73c36ijozvuinjvlj2m@jpeg,306,93,3,2024-12-31T23:03:54.414Z,2024-12-31T23:03:56.154Z,https://bsky.app/profile/arndog77.bsky.social/post/3len5sr5irk2m,2025-12-10 14:43:23
bluesky,woman yelling at cat,yelling cat meme,at://did:plc:2sfy6irvmfmnwxe4ouhrrn7a/app.bsky.feed.post/3lih3ub7aa523,notalegalrecord.net,Tony Corsentino,sharing this when we discuss character encoding formats in the LIS class i’m teaching,"Woman yelling a cat meme beneath a photo of an arm in with VENI VIDI VICI using Greek sigma for E, phi for I, and pi for N. Woman is yelling Veni, Vidi, Vici. Cat is replying Vsppph, Vphdph, Vphcph",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:2sfy6irvmfmnwxe4ouhrrn7a/bafkreidukwkqgxhpgvezko2m5nqmiwutscwxxgnakbnmm2t77tkqaxakom@jpeg,133,30,6,2025-02-18T10:53:45.342Z,2025-02-18T10:53:46.053Z,https://bsky.app/profile/notalegalrecord.net/post/3lih3ub7aa523,2025-12-10 14:43:29
bluesky,woman yelling at cat,yelling cat meme,at://did:plc:qyasxjgq5fqgr4qxn6clpong/app.bsky.feed.post/3lidfaafcdk2j,fatsfalafel.bsky.social,Fats Falafel,#AEW,"Lady yelling at cat meme, but the lady is angry puppet Mercedes Mone and the cat is regular angry Mercedes Mone",https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:qyasxjgq5fqgr4qxn6clpong/bafkreifixcijtv4hdm4z3otmqlns24ho3u7s4sjweq5bu552ygoa7dh7ry@jpeg,270,72,3,2025-02-16T23:30:51.934Z,2025-02-16T23:30:53.057Z,https://bsky.app/profile/fatsfalafel.bsky.social/post/3lidfaafcdk2j,2025-12-10 14:43:29
